brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
57737.0,for_sale,700000.0,1.0,1.0,4.84,Unknown,New York City,New York,10002.0,750.0,N/A
59087.0,for_sale,575000.0,4.0,3.0,1.47,1395396.0,Littlestown,Pennsylvania,17340.0,2978.0,N/A
10838.0,for_sale,1200000.0,3.0,2.0,35.8,977108.0,New Alexandria,Pennsylvania,15670.0,2236.0,N/A
26692.0,for_sale,729000.0,1.0,2.0,0.0,1143446.0,New York,New York,10022.0,1040.0,N/A
81799.0,for_sale,229000.0,2.0,2.0,0.37,387500.0,Fredericksburg,Ohio,44627.0,1620.0,N/A
52549.0,for_sale,325000.0,3.0,2.0,0.56,51265.0,Mint Hill,North Carolina,28227.0,1890.0,2017-07-24 00:00:00
72087.0,for_sale,299000.0,3.0,2.0,0.16,981632.0,Maywood,Illinois,60153.0,1680.0,2017-03-08 00:00:00
50133.0,for_sale,1897000.0,4.0,3.0,29.08,316260.0,Ocala,Florida,34482.0,3504.0,1997-07-11 00:00:00
41428.0,for_sale,709277.0,5.0,5.0,0.19,172566.0,Odessa,Florida,33556.0,4219.0,N/A
78992.0,for_sale,182900.0,2.0,2.0,0.0,190558.0,Rockford,Illinois,61107.0,1522.0,1996-08-28 00:00:00
10262.0,for_sale,883850.0,3.0,4.0,0.1,1997048.0,Santa Rosa Beach,Florida,32459.0,2488.0,N/A
53129.0,for_sale,400000.0,3.0,3.0,0.38,47215.0,Cary,North Carolina,27511.0,1702.0,2003-04-04 00:00:00
91119.0,for_sale,348000.0,4.0,4.0,0.99,18615.0,Macon,Georgia,31210.0,2946.0,2007-11-26 00:00:00
79414.0,for_sale,59900.0,2.0,1.0,0.25,1780237.0,Macomb,Illinois,61455.0,882.0,N/A
89067.0,for_sale,145000.0,2.0,2.0,0.0,426857.0,Delray Beach,Florida,33446.0,883.0,N/A
102073.0,for_sale,164900.0,4.0,3.0,0.29,812296.0,Victor,New York,14564.0,2012.0,N/A
51697.0,for_sale,200000.0,4.0,1.0,0.03,1707337.0,Lancaster,Pennsylvania,17603.0,1095.0,2021-11-01 00:00:00
65201.0,ready_to_build,423990.0,3.0,2.0,0.0,767231.0,Daytona Beach,Florida,32124.0,2438.0,N/A
70242.0,for_sale,384960.0,4.0,3.0,0.14,792196.0,Clermont,Florida,34711.0,2235.0,N/A
26626.0,ready_to_build,384900.0,3.0,2.0,0.0,921450.0,New Stanton,Pennsylvania,15672.0,1687.0,N/A
106872.0,for_sale,260000.0,3.0,3.0,0.0,354706.0,Mechanicsburg,Pennsylvania,17050.0,1364.0,N/A
78181.0,for_sale,1100000.0,3.0,4.0,6.43,1392502.0,Sarasota,Florida,34241.0,2856.0,2020-09-01 00:00:00
27030.0,ready_to_build,556990.0,4.0,2.0,0.0,1488783.0,Fort Worth,Texas,76123.0,2982.0,N/A
36503.0,for_sale,75000.0,3.0,2.0,0.0,1543517.0,Fort Pierce,Florida,34951.0,1512.0,N/A
31767.0,for_sale,645000.0,5.0,5.0,0.9,511841.0,Cullowhee,North Carolina,28723.0,4346.0,N/A
108518.0,for_sale,470000.0,2.0,2.0,0.03,1212361.0,Staten Island,New York,10314.0,1680.0,2007-03-12 00:00:00
24931.0,for_sale,85000.0,4.0,2.0,0.22,1151538.0,Oblong,Illinois,62449.0,1248.0,2015-03-23 00:00:00
26524.0,for_sale,1250000.0,4.0,5.0,0.0,907503.0,Aventura,Florida,33180.0,2414.0,2020-12-24 00:00:00
45877.0,for_sale,135000.0,3.0,2.0,0.09,1367447.0,Niagara Falls,New York,14301.0,1400.0,2021-07-01 00:00:00
52929.0,for_sale,99900.0,3.0,1.0,0.02,1451611.0,Philadelphia,Pennsylvania,19139.0,1113.0,1982-07-12 00:00:00
